,МАРКА,t вып-обр,t обработка,t под током,t продувка,чист расход C,чист расход Cr,чист расход Mn,чист расход Si,чист расход V,температура первая,температура последняя,Ar (интенс.),эл. энергия (интенс.),произв жидкая сталь,произв количество обработок,расход газ Ar,сыпуч известь РП,сыпуч кокс пыль УСТК,сыпуч  кокс. мелочь КМ1,сыпуч  шпат плав.,ферспл CaC2,ферспл  FeV-80,ферспл  Mn5Si65Al0.5,ферспл SiMn18,ферспл  фх850А,эл. энергия,химсталь первый Al_1,химсталь первый C_1,химсталь первый Cr_1,химсталь первый Cu_1,химсталь первый Mn_1,химсталь первый Mo_1,химсталь первый N_1,химсталь первый Ni_1,химсталь первый P_1,химсталь первый S_1,химсталь первый Si_1,химсталь первый Ti_1,химсталь первый V_1,химсталь последний Al,химсталь последний C,химсталь последний Ca,химсталь последний Cr,химсталь последний Cu,химсталь последний Mn,химсталь последний Mo,химсталь последний N,химсталь последний Ni,химсталь последний P,химсталь последний S,химсталь последний Si,химсталь последний Ti,химсталь последний V,химшлак первый Al2O3_1,химшлак первый CaO_1,химшлак первый FeO_1,химшлак первый MgO_1,химшлак первый MnO_1,химшлак первый R_1,химшлак первый SiO2_1,химшлак последний Al2O3,химшлак последний CaO,химшлак последний FeO,химшлак последний MgO,химшлак последний MnO,химшлак последний R,химшлак последний SiO2,isna_SiO2,isna_Al2O3
0,Э76ХФ,29.0,45.3666667,24.4,41.033333299999995,0.45646000000000003,0.059572,0.11744600000000001,0.104762,0.040938300000000004,1557.0,1580.0,13.6067425,12809.0163934,115.5,1.0,18.611,0.116,0.17,0.401,0.12300000000000001,0.02,0.051939,0.11199999999999999,0.182,0.106,5209.0,0.002,0.389,0.368,0.127,0.682,0.01,0.011000000000000001,0.086,0.009000000000000001,0.023,0.45899999999999996,0.002,0.002,0.003,0.7559999999999999,0.0001,0.41700000000000004,0.126,0.779,0.009000000000000001,0.012,0.086,0.011000000000000001,0.018000000000000002,0.5589999999999999,0.003,0.037000000000000005,4.361972424807921,63.7,1.1,3.7,0.12,2.6,24.0670257240814,5.240299505154668,53.4,1.0,5.8,0.15,2.6,20.495799328074227,True,True
1,Э76ХФ,26.0,44.0666667,13.866666699999998,44.0666667,0.35928499999999997,0.08373799999999999,0.160923,0.110327,0.040083099999999997,1601.0,1591.0,8.074721,12816.3461538,111.6,1.0,11.659,0.116,0.488,0.42,0.094,0.02,0.050854,0.102,0.251,0.149,2962.0,0.002,0.465,0.345,0.11199999999999999,0.643,0.009000000000000001,0.011000000000000001,0.08,0.006999999999999999,0.023,0.461,0.002,0.002,0.003,0.774,0.0003,0.41600000000000004,0.109,0.767,0.008,0.013000000000000001,0.079,0.008,0.021,0.5429999999999999,0.003,0.038,4.146830302309214,58.5,0.8,4.9,0.14,2.2,25.348977830584293,4.4165804573645415,59.3,0.6,4.1,0.11,2.3,25.952979525094158,True,True
2,Э76ХФ,24.0,43.35,17.95,43.35,0.331665,0.08148999999999999,0.132332,0.13985999999999998,0.0416225,1593.0,1586.0,13.801967999999999,12511.420612799999,115.8,1.0,19.871,0.116,0.05,0.34600000000000003,0.061,0.02,0.05280700000000001,0.16,0.204,0.145,3743.0,0.002,0.513,0.35100000000000003,0.107,0.674,0.006999999999999999,0.011000000000000001,0.078,0.008,0.019,0.455,0.002,0.002,0.004,0.77,0.0009,0.41700000000000004,0.10800000000000001,0.7879999999999999,0.006,0.012,0.078,0.008,0.013000000000000001,0.568,0.003,0.038,4.266803268304571,58.0,0.8,8.6,0.12,2.6,22.496034283197098,4.4578066240449745,57.2,0.5,8.1,0.13,2.3,24.94379581609296,True,True
3,Э76ХФ,17.0,46.1833333,19.8166667,46.1833333,0.377945,0.133194,0.22160500000000002,0.165186,0.042049699999999995,1589.0,1589.0,12.664958500000001,12998.1497056,116.3,1.0,19.497,0.077,0.05,0.39,0.059000000000000004,0.02,0.053349,0.161,0.345,0.237,4293.0,0.002,0.48700000000000004,0.31,0.105,0.611,0.009000000000000001,0.011000000000000001,0.07,0.006,0.02,0.434,0.001,0.001,0.003,0.767,0.0002,0.419,0.10300000000000001,0.795,0.008,0.013000000000000001,0.07,0.006999999999999999,0.013999999999999999,0.5710000000000001,0.003,0.038,3.7457671176973113,59.8,0.4,6.4,0.11,2.4,24.517339881126098,4.416771269728799,60.3,0.5,6.3,0.12,2.6,23.281072666063874,True,True
4,Э76ХФ,20.0,48.5,17.033333300000002,48.5,0.389875,0.105094,0.169459,0.143024,0.040966699999999995,1597.0,1592.0,10.2983505,12987.475538200002,115.0,1.0,16.649,0.082,0.05,0.41200000000000003,0.035,0.02,0.051975,0.149,0.263,0.187,3687.0,0.002,0.461,0.33399999999999996,0.105,0.652,0.006999999999999999,0.011000000000000001,0.08,0.006999999999999999,0.02,0.447,0.001,0.002,0.003,0.784,0.0003,0.42100000000000004,0.105,0.7959999999999999,0.006,0.013000000000000001,0.081,0.008,0.017,0.568,0.003,0.037000000000000005,3.857635592400575,59.6,0.7,4.7,0.12,2.4,24.178750105700452,4.602454658606972,60.3,0.6,4.5,0.09,2.5,24.20108981754128,True,True
5,Э76ХФ,2.0,51.1833333,17.7333333,51.1833333,0.28273000000000004,0.102284,0.153114,0.121723,0.0424777,1589.0,1601.0,7.006719599999999,12133.082706799998,117.4,1.0,11.527999999999999,0.068,0.375,0.42,0.073,0.02,0.053891999999999995,0.12300000000000001,0.23800000000000002,0.182,3586.0,0.002,0.488,0.331,0.10099999999999999,0.6559999999999999,0.008,0.01,0.086,0.006999999999999999,0.021,0.455,0.002,0.002,0.003,0.731,0.0003,0.397,0.099,0.718,0.006999999999999999,0.012,0.085,0.006999999999999999,0.016,0.493,0.003,0.038,4.370748698774091,67.4,0.5,3.8,0.08,3.0,22.332122018173816,4.9783526620447125,62.3,1.1,2.5,0.15,2.7,23.154293961727685,True,True
67,Э76ХФ,38.0,56.716666700000005,18.533333300000002,56.716666700000005,0.01524,0.12584,0.022209,0.048741,0.040082099999999996,1575.0,1601.0,11.6418444,11564.028777,113.4,1.0,20.619,0.11800000000000002,0.05,0.018000000000000002,0.038,0.02,0.050492,0.066,0.033,0.223,3572.0,0.002,0.451,0.344,0.10300000000000001,0.667,0.008,0.01,0.079,0.008,0.025,0.467,0.002,0.002,0.003,0.765,0.0003,0.419,0.10300000000000001,0.8059999999999999,0.006999999999999999,0.012,0.077,0.009000000000000001,0.019,0.578,0.003,0.038,2.587696097639969,64.1,0.4,5.1,0.14,2.5,25.10015689327902,3.99279806937339,59.3,0.7,7.2,0.32,2.5,24.27213805618488,True,True
82,Э76ХФ,17.0,62.55,39.966666700000005,62.55,0.5348,0.110152,0.16838599999999998,0.128527,0.0395408,1513.0,1636.0,9.1945037,15174.6455379,113.1,1.0,19.145,0.109,0.05,0.59,0.034,0.02,0.050166,0.127,0.262,0.196,10108.0,0.002,0.34600000000000003,0.32299999999999995,0.09699999999999999,0.662,0.006999999999999999,0.008,0.07200000000000001,0.008,0.019,0.47200000000000003,0.002,0.003,0.003,0.746,0.0005,0.423,0.098,0.8079999999999999,0.006,0.011000000000000001,0.07200000000000001,0.009000000000000001,0.015,0.581,0.004,0.038,4.433282480168798,53.9,0.6,14.5,0.29,2.3,23.34880814517991,4.395442989122272,58.4,0.5,7.9,0.17,2.2,26.57560142545381,True,True
83,Э76ХФ,20.0,47.5166667,24.966666699999998,47.0166667,0.541855,0.14331,0.23487199999999997,0.208873,0.0423918,1602.0,1608.0,11.1413683,13320.9612817,118.1,1.0,17.461,0.239,0.05,0.59,0.038,0.02,0.053783000000000004,0.223,0.364,0.255,5543.0,0.002,0.363,0.306,0.09,0.608,0.006,0.01,0.07200000000000001,0.006999999999999999,0.018000000000000002,0.397,0.001,0.002,0.003,0.76,0.0006,0.42,0.08900000000000001,0.802,0.005,0.011000000000000001,0.07200000000000001,0.008,0.012,0.5660000000000001,0.003,0.038,4.379143845245958,50.7,0.7,15.1,0.51,2.0,24.8500816762122,4.4600779286511125,59.2,1.0,7.1,0.19,2.2,26.89551246420099,True,True
84,Э76ХФ,15.0,51.9,22.3833333,51.9,0.533385,0.14893,0.247852,0.222789,0.0433329,1619.0,1612.0,10.526011599999999,13434.996277,120.4,1.0,18.21,0.10199999999999998,0.05,0.578,0.0,0.02,0.054977,0.239,0.384,0.265,5012.0,0.001,0.365,0.302,0.094,0.595,0.006,0.011000000000000001,0.07,0.008,0.026000000000000002,0.382,0.001,0.002,0.003,0.773,0.0004,0.418,0.092,0.8029999999999999,0.005,0.011000000000000001,0.069,0.008,0.017,0.57,0.003,0.038,4.1592551954791634,50.9,0.5,17.3,0.67,1.9,25.73656598396505,4.5832474960592355,58.3,0.7,8.4,0.16,2.3,25.68774025230195,True,True
