iter	Passed	Remaining
0	9	9950
1	19	9794
2	29	9848
3	39	9835
4	49	9831
5	59	9804
6	70	10047
7	80	9975
8	90	9929
9	99	9897
10	109	9850
11	119	9851
12	129	9827
13	139	9792
14	148	9747
15	158	9717
16	167	9697
17	177	9671
18	187	9678
19	196	9651
20	206	9631
21	216	9608
22	225	9590
23	236	9620
24	246	9630
25	256	9624
26	272	9818
27	282	9791
28	292	9786
29	301	9762
30	311	9734
31	323	9785
32	333	9777
33	343	9755
34	352	9732
35	362	9712
36	372	9689
37	382	9671
38	391	9654
39	401	9639
40	411	9620
41	420	9590
42	429	9568
43	439	9553
44	449	9537
45	458	9514
46	468	9498
47	477	9476
48	487	9462
49	496	9442
50	506	9423
51	515	9405
52	525	9388
53	535	9378
54	545	9365
55	554	9353
56	566	9372
57	576	9357
58	585	9338
59	595	9323
60	605	9316
61	614	9301
62	624	9284
63	633	9266
64	643	9249
65	652	9236
66	662	9228
67	672	9213
68	681	9196
69	691	9182
70	700	9168
71	711	9164
72	720	9151
73	730	9140
74	741	9144
75	751	9133
76	761	9127
77	770	9113
78	780	9098
79	789	9082
80	799	9067
81	810	9075
82	820	9066
83	830	9055
84	840	9044
85	850	9033
86	859	9021
87	869	9011
88	879	9000
89	888	8984
90	897	8969
91	908	8961
92	917	8949
93	927	8938
94	937	8929
95	946	8916
96	956	8903
97	966	8894
98	976	8884
99	985	8872
100	995	8860
101	1005	8850
102	1015	8839
103	1024	8824
104	1033	8812
105	1043	8800
106	1052	8787
107	1064	8789
108	1074	8786
109	1084	8776
110	1094	8763
111	1103	8748
112	1113	8738
113	1123	8730
114	1132	8718
115	1142	8707
116	1152	8695
117	1162	8685
118	1171	8675
119	1181	8660
120	1190	8650
121	1199	8635
122	1209	8623
123	1219	8614
124	1228	8601
125	1239	8597
126	1255	8627
127	1264	8617
128	1274	8607
129	1284	8598
130	1294	8586
131	1305	8585
132	1316	8579
133	1325	8567
134	1335	8554
135	1345	8544
136	1354	8535
137	1364	8523
138	1374	8512
139	1383	8501
140	1393	8489
141	1403	8480
142	1413	8468
143	1422	8456
144	1432	8446
145	1442	8436
146	1452	8426
147	1461	8415
148	1471	8405
149	1481	8395
150	1492	8389
151	1501	8378
152	1511	8366
153	1520	8353
154	1530	8341
155	1539	8329
156	1551	8329
157	1561	8321
158	1571	8310
159	1581	8301
160	1590	8290
161	1600	8281
162	1610	8271
163	1620	8260
164	1630	8249
165	1639	8238
166	1649	8229
167	1659	8218
168	1669	8207
169	1678	8196
170	1688	8185
171	1698	8174
172	1708	8165
173	1718	8158
174	1729	8152
175	1739	8144
176	1750	8137
177	1759	8126
178	1769	8116
179	1779	8105
180	1788	8094
181	1800	8091
182	1810	8081
183	1819	8070
184	1829	8059
185	1839	8048
186	1848	8038
187	1858	8025
188	1868	8016
189	1877	8004
190	1887	7994
191	1897	7983
192	1906	7973
193	1916	7962
194	1926	7952
195	1935	7938
196	1944	7927
197	1954	7915
198	1963	7905
199	1974	7896
200	1983	7886
201	1993	7876
202	2003	7866
203	2013	7855
204	2022	7843
205	2032	7833
206	2044	7830
207	2054	7823
208	2064	7812
209	2073	7801
210	2083	7789
211	2093	7781
212	2103	7770
213	2112	7759
214	2122	7749
215	2131	7738
216	2141	7728
217	2152	7719
218	2161	7709
219	2171	7699
220	2182	7693
221	2191	7681
222	2201	7670
223	2211	7661
