t вып-обр,t обработка,t под током,t продувка,ПСН гр.,чист расход C,чист расход Cr,чист расход Mn,чист расход Si,чист расход V,температура первая,Ar (интенс.),эл. энергия (интенс.),расход газ Ar,сыпуч известь РП,сыпуч  шпат плав.,ферспл CaC2,ферспл  Mn5Si65Al0.5,ферспл SiMn18,химсталь первый Al_1,химсталь первый Mn_1,химсталь первый Si_1,химсталь первый V_1,химсталь последний Al,химсталь последний Ca,химсталь последний Mn,химсталь последний Si,химсталь последний V,химшлак первый Al2O3_1,химшлак первый CaO_1,химшлак первый FeO_1,химшлак первый MgO_1,химшлак первый MnO_1,химшлак первый R_1,химшлак первый SiO2_1,химшлак последний Al2O3,химшлак последний CaO,химшлак последний FeO,химшлак последний MgO,химшлак последний MnO,химшлак последний R,химшлак последний SiO2
26.0,42.05,19.8833333,42.05,3.7752928999999997,0.40265500000000004,0.168487,0.176548,0.153988,0.041933,1565.0,18.348157,13609.3880972,25.718000000000004,0.0,0.039,0.02,0.16399999999999998,0.266,0.002,0.642,0.434,0.002,0.003,0.0003,0.8029999999999999,0.5710000000000001,0.037000000000000005,5.3,48.8,0.7,14.2,0.19,2.2,22.4,5.2,54.5,0.3,14.0,0.14,2.1,26.6
16.0,48.1833333,20.4833333,48.1833333,3.6678112,0.399455,0.13000899999999999,0.123483,0.152815,0.0387938,1582.0,11.1405405,12923.677786799999,17.862000000000002,0.0,0.07400000000000001,0.02,0.185,0.184,0.001,0.693,0.426,0.002,0.003,0.0003,0.799,0.579,0.036000000000000004,4.4,53.3,0.4,10.9,0.19,2.2,24.6,4.4,55.6,0.6,7.7,0.12,2.1,26.9
7.0,47.0166667,23.1666667,47.0166667,2.7765177000000003,0.42198,0.11668800000000001,0.11836700000000001,0.13,0.0388069,1604.0,14.371774800000003,12519.7122302,22.404,0.122,0.038,0.02,0.155,0.17600000000000002,0.002,0.6920000000000001,0.457,0.002,0.004,0.0004,0.799,0.5720000000000001,0.036000000000000004,5.2,56.2,0.7,11.7,0.14,2.7,20.6,4.5,55.8,0.4,9.4,0.1,2.0,27.4
12.0,49.3833333,32.1666667,49.3833333,3.62601,0.404285,0.11611600000000001,0.15095799999999998,0.129965,0.0384599,1536.0,6.9769048,12780.9326425,11.446,0.08199999999999999,0.048,0.02,0.141,0.22699999999999998,0.002,0.6659999999999999,0.451,0.002,0.004,0.0003,0.799,0.563,0.035,5.0,53.8,1.4,10.1,0.2,2.3,23.1,4.8,55.0,0.6,7.6,0.14,2.0,27.2
23.0,42.033333299999995,29.383333299999997,42.033333299999995,2.0,0.30571,0.082368,0.058185,0.085275,0.0376213,1529.0,13.0232355,12482.5865003,18.247,0.054000000000000006,0.06,0.02,0.11,0.085,0.002,0.7340000000000001,0.484,0.003,0.003,0.0002,0.784,0.5660000000000001,0.036000000000000004,3.9,55.6,0.5,7.3,0.16,3.2,17.6,4.5,59.1,0.2,4.5,0.1,2.2,26.9
21.0,43.8666667,25.716666699999998,43.8666667,2.0,0.15538,0.077792,0.06343700000000001,0.060145000000000004,0.0367538,1530.0,11.611422,12421.516526200001,16.942999999999998,0.042,0.085,0.02,0.068,0.095,0.004,0.73,0.508,0.004,0.004,0.0003,0.79,0.564,0.037000000000000005,4.3,64.6,0.3,8.7,0.13,2.9,22.3,4.9,61.3,0.3,5.7,0.13,2.3,26.3
20.0,49.7333333,25.65,49.7333333,2.8791045,0.34951,0.0858,0.12235399999999999,0.10515999999999999,0.0385175,1544.0,10.442292199999999,12879.532163700002,17.311,0.06,0.07200000000000001,0.02,0.114,0.184,0.003,0.679,0.469,0.003,0.003,0.0004,0.787,0.563,0.036000000000000004,4.9,63.0,0.7,10.4,0.16,2.8,22.8,4.6,56.6,0.2,7.8,0.12,2.1,27.0
35.0,47.8666667,20.216666699999998,47.8666667,3.4925752999999995,0.350455,0.160403,0.038939,0.076329,0.0370848,1559.0,8.957415300000001,13322.6710635,14.093,0.052000000000000005,0.081,0.02,0.10300000000000001,0.055999999999999994,0.002,0.748,0.48100000000000004,0.002,0.003,0.0002,0.7859999999999999,0.561,0.036000000000000004,3.6,58.1,0.4,8.6,0.13,2.6,22.1,3.8,62.3,0.5,4.7,0.08,2.7,23.3
36.0,43.3666667,23.3166667,43.3666667,3.7142857000000005,0.31790999999999997,0.121824,0.14793800000000001,0.088443,0.0370848,1539.0,11.415680199999999,13427.305218000001,16.502,0.0,0.08800000000000001,0.02,0.076,0.22699999999999998,0.002,0.662,0.483,0.003,0.003,0.0003,0.794,0.5760000000000001,0.037000000000000005,3.8,48.6,1.3,7.7,0.3,2.5,19.5,3.4,59.9,0.3,8.3,0.15,2.3,26.3
35.0,43.85,18.35,43.85,3.28684,0.35608,0.099264,0.210519,0.154524,0.03864190000000001,1577.0,9.794982899999999,13477.9291553,14.317,0.0,0.075,0.02,0.153,0.321,0.001,0.614,0.435,0.003,0.003,0.0003,0.7929999999999999,0.573,0.037000000000000005,4.0,50.9,0.4,8.1,0.13,2.5,20.2,4.9,56.1,0.5,9.6,0.13,2.2,25.5
33.0,42.216666700000005,20.65,42.216666700000005,2.8543165,0.30104000000000003,0.128592,0.121952,0.131297,0.0381786,1546.0,19.100039499999998,14045.5205811,26.878,0.0,0.10099999999999999,0.02,0.154,0.183,0.002,0.696,0.45299999999999996,0.004,0.003,0.0004,0.7929999999999999,0.5660000000000001,0.037000000000000005,3.5,59.5,0.3,8.6,0.19,2.3,25.4,4.3,61.5,0.9,3.8,0.11,2.4,25.2
37.0,49.0166667,28.35,49.0166667,5.3640143,0.29083000000000003,0.09587999999999999,0.0016530000000000002,0.036879,0.0349855,1652.0,11.2313336,14241.269841299998,18.201,0.0,0.048,0.02,0.057,0.0,0.003,0.777,0.514,0.004,0.005,0.0002,0.78,0.562,0.036000000000000004,4.3,63.6,0.3,7.8,0.11,3.0,21.0,3.9,56.5,1.0,6.3,0.09,2.3,26.3
47.0,57.3833333,23.95,57.3833333,2.4298382999999997,0.38955500000000004,0.133668,0.050615,0.06729500000000001,0.039276099999999994,1559.0,7.302150999999999,12849.2693111,13.296,0.0,0.045,0.02,0.085,0.075,0.002,0.745,0.495,0.003,0.004,0.0004,0.7879999999999999,0.568,0.037000000000000005,4.9,63.9,0.5,6.1,0.09,2.9,21.9,4.1,58.2,0.4,6.7,0.07,2.3,25.7
41.0,47.5166667,23.7333333,47.5166667,3.4514589,0.395385,0.131412,0.11808699999999998,0.071739,0.038418,1539.0,8.9399036,13462.078651700002,13.909,0.0,0.049,0.02,0.065,0.18100000000000002,0.002,0.687,0.49,0.002,0.003,0.0001,0.789,0.57,0.037000000000000005,4.7,58.7,0.4,10.3,0.16,2.7,21.8,5.5,60.3,0.8,4.5,0.07,2.6,22.9
33.0,51.5666667,14.2,51.5666667,2.9896507999999997,0.40131999999999995,0.10715999999999999,0.089972,0.10996800000000001,0.0392476,1586.0,11.3244762,12574.6478873,19.368,0.0,0.046,0.02,0.136,0.134,0.002,0.7090000000000001,0.46299999999999997,0.002,0.003,0.0002,0.7859999999999999,0.569,0.037000000000000005,4.4,62.9,0.4,6.8,0.13,3.0,21.2,5.4,62.0,0.6,4.0,0.07,2.7,22.9
34.0,56.7,16.8333333,56.7,2.9896507999999997,0.389425,0.080652,0.044795999999999996,0.10738199999999999,0.038789699999999996,1557.0,8.4356002,12403.960395999999,15.402000000000001,0.0,0.045,0.02,0.15,0.063,0.002,0.752,0.48100000000000004,0.002,0.003,0.0004,0.7909999999999999,0.563,0.035,5.5,59.1,0.4,7.4,0.1,2.7,21.5,5.7,57.5,0.8,7.9,0.12,2.3,25.3
33.0,43.1833333,17.1666667,43.1833333,2.0,0.46048,0.093624,0.07737000000000001,0.12415699999999999,0.038789699999999996,1577.0,8.9180239,13082.3300971,12.837,0.084,0.08199999999999999,0.02,0.161,0.11599999999999999,0.002,0.7140000000000001,0.45299999999999996,0.003,0.003,0.0002,0.7809999999999999,0.562,0.036000000000000004,5.0,57.1,0.8,8.9,0.18,2.6,22.0,5.6,56.2,1.0,6.7,0.08,2.5,22.4
26.0,47.3833333,16.8833333,47.3833333,1.7142857,0.43421499999999996,0.15961199999999998,0.18888,0.14551,0.038932800000000004,1583.0,17.675457,13472.458045399999,27.666999999999998,0.04,0.073,0.02,0.15,0.29,0.001,0.618,0.441,0.002,0.003,0.0002,0.7879999999999999,0.57,0.036000000000000004,5.4,58.1,0.4,10.1,0.15,2.6,22.3,4.2,49.8,0.7,11.3,0.13,2.4,20.4
23.0,45.5166667,24.2333333,45.5166667,2.7917151000000002,0.172035,0.133601,0.107724,0.069016,0.037840399999999996,1571.0,9.1796038,13558.1843191,13.902000000000001,0.049,0.111,0.02,0.064,0.166,0.002,0.701,0.509,0.003,0.004,0.0006,0.797,0.5710000000000001,0.037000000000000005,4.6,62.8,0.4,7.0,0.13,3.0,21.2,4.7,55.2,0.5,5.9,0.09,2.7,20.4
29.0,50.3666667,25.1833333,50.3666667,2.0,0.37717,0.126334,0.07305,0.106195,0.0388755,1556.0,12.02045,14109.3315685,20.180999999999997,0.157,0.08800000000000001,0.02,0.135,0.11,0.002,0.72,0.473,0.003,0.004,0.0004,0.784,0.547,0.036000000000000004,5.2,59.9,0.7,12.0,0.13,2.9,20.9,5.3,56.8,0.5,7.6,0.1,2.6,21.6
37.0,49.7,18.65,49.7,4.0,0.38886,0.11403599999999998,0.092436,0.11568599999999998,0.039048,1584.0,10.0128773,14174.798927599999,16.588,0.0,0.075,0.02,0.142,0.14,0.002,0.715,0.46799999999999997,0.003,0.004,0.0004,0.792,0.573,0.037000000000000005,4.6,59.6,0.4,8.6,0.09,2.8,21.5,4.9,59.1,0.7,4.7,0.14,2.3,25.6
45.0,47.8833333,21.8833333,47.8833333,4.0,0.406075,0.106769,0.10846800000000001,0.11913299999999999,0.0396236,1557.0,13.148207399999999,14158.720487399998,20.986,0.053,0.044000000000000004,0.02,0.141,0.165,0.002,0.7,0.466,0.002,0.004,0.0005,0.7959999999999999,0.579,0.037000000000000005,5.2,58.5,0.4,6.1,0.1,2.9,20.4,6.7,58.8,0.5,5.9,0.07,2.7,22.2
50.0,43.3333333,16.35,43.3333333,2.8015267,0.46223500000000006,0.106769,0.09133200000000001,0.12188800000000001,0.0396808,1581.0,11.4251538,13500.917431200001,16.503,0.053,0.076,0.02,0.152,0.138,0.002,0.7190000000000001,0.462,0.003,0.003,0.0002,0.794,0.5770000000000001,0.036000000000000004,4.8,62.0,0.7,5.5,0.11,2.8,21.8,6.4,59.3,0.5,4.6,0.08,2.7,21.9
49.0,43.3333333,15.4666667,43.3333333,3.6748466,0.44788500000000003,0.12465699999999999,0.14157,0.140557,0.040572000000000004,1584.0,11.8661538,13829.741379299998,17.14,0.0,0.071,0.02,0.161,0.21600000000000003,0.002,0.6779999999999999,0.451,0.002,0.004,0.0004,0.797,0.55,0.037000000000000005,5.1,60.0,0.3,7.0,0.11,2.7,22.0,4.8,58.6,0.3,6.2,0.09,2.2,26.1
53.0,47.1666667,17.8833333,47.1666667,3.4502252999999996,0.45378500000000005,0.126893,0.11207400000000001,0.134319,0.0396808,1579.0,8.605137699999998,13578.005591799998,12.934000000000001,0.0,0.08900000000000001,0.02,0.163,0.17,0.002,0.7,0.45299999999999996,0.002,0.004,0.0004,0.7929999999999999,0.56,0.036000000000000004,4.6,58.5,1.4,6.2,0.18,2.7,21.9,4.7,58.2,0.4,8.7,0.11,2.2,26.2
59.0,46.35,18.5,46.35,3.0,0.41326999999999997,0.126334,0.087924,0.11388499999999999,0.0410037,1556.0,10.163960000000001,14043.2432432,15.229000000000001,0.0,0.071,0.02,0.141,0.133,0.002,0.7190000000000001,0.473,0.002,0.004,0.0004,0.799,0.5589999999999999,0.038,4.4,59.2,0.4,9.2,0.12,2.7,22.0,4.7,56.7,0.8,9.9,0.11,2.3,25.2
48.0,51.1833333,19.3666667,51.1833333,4.538247599999999,0.45114,0.120744,0.13488,0.12912200000000001,0.0406014,1576.0,8.8755174,14232.7022375,14.652000000000001,0.095,0.05,0.02,0.146,0.20600000000000002,0.002,0.665,0.45,0.002,0.003,0.0002,0.7979999999999999,0.561,0.038,4.3,51.7,0.5,9.3,0.1,2.5,20.6,5.4,58.9,0.6,7.1,0.11,2.6,23.0
55.0,46.6666667,21.15,46.6666667,3.9321017999999994,0.405225,0.111241,0.085212,0.10800499999999999,0.038761000000000004,1547.0,13.223684200000001,13931.914893599998,20.1,0.063,0.096,0.02,0.133,0.129,0.002,0.726,0.47200000000000003,0.003,0.004,0.0011,0.7979999999999999,0.57,0.035,4.8,61.5,0.6,6.9,0.09,2.8,21.7,4.6,48.1,1.0,2.2,0.09,2.5,19.5
60.0,42.3333333,20.3166667,42.3333333,3.3574066,0.32264,0.108446,0.048264,0.10894100000000001,0.039163300000000005,1551.0,11.822767800000001,13646.923708000002,16.588,0.040999999999999995,0.11699999999999999,0.02,0.149,0.071,0.002,0.753,0.47100000000000003,0.003,0.004,0.00041,0.797,0.561,0.036000000000000004,4.8,59.9,0.5,5.9,0.12,3.0,19.9,4.4,57.4,0.4,10.1,0.13,2.2,25.6
22.0,46.8666667,13.983333300000002,46.8666667,3.2699229,0.47798,0.143104,0.162138,0.166141,0.040285,1626.0,10.0411891,13456.019070299997,15.575,0.106,0.07400000000000001,0.02,0.193,0.244,0.002,0.657,0.426,0.002,0.003,0.0003,0.795,0.5670000000000001,0.036000000000000004,3.7,55.5,0.6,11.9,0.14,2.1,26.0,4.1,55.7,0.5,12.1,0.14,2.2,25.9
26.0,47.8666667,16.8166667,47.8666667,3.3653123,0.449675,0.141427,0.121992,0.173683,0.0404862,1587.0,11.166112400000001,13697.125867200002,17.72,0.0,0.064,0.02,0.221,0.17800000000000002,0.002,0.6940000000000001,0.431,0.002,0.004,0.0006,0.7929999999999999,0.5710000000000001,0.035,4.5,53.1,0.8,15.7,0.17,2.4,21.9,4.5,56.6,0.4,12.8,0.13,2.2,25.4
28.0,48.85,15.366666699999998,48.85,3.4858447,0.47479499999999997,0.132483,0.14014200000000002,0.16328399999999998,0.040457599999999996,1616.0,11.2513138,13501.9522777,18.199,0.052000000000000005,0.055,0.02,0.198,0.20600000000000002,0.002,0.677,0.43200000000000005,0.002,0.003,0.0005,0.802,0.5770000000000001,0.037000000000000005,4.2,49.0,0.5,13.1,0.13,2.1,23.6,4.9,50.1,0.4,12.6,0.11,2.1,24.2
32.0,43.2,15.0333333,43.2,3.7495652,0.45188,0.13416,0.096795,0.14341700000000002,0.040572000000000004,1591.0,12.279383900000001,13426.164079799997,17.273,0.063,0.039,0.02,0.184,0.141,0.002,0.713,0.449,0.002,0.004,0.0004,0.789,0.578,0.037000000000000005,5.2,58.4,0.3,9.5,0.12,2.6,22.5,4.5,53.0,0.6,10.7,0.13,2.1,24.7
41.0,45.6666667,18.1666667,45.6666667,2.5424318,0.41156570000000003,0.098384,0.03954,0.096742,0.0416938,1560.0,8.1985401,13382.7522936,12.48,0.055,0.102,0.0,0.134,0.055999999999999994,0.002,0.7559999999999999,0.473,0.003,0.004,0.0003,0.7879999999999999,0.564,0.036000000000000004,5.3,58.5,0.4,10.0,0.16,2.6,22.6,4.6,58.4,0.3,7.9,0.11,2.2,26.4
48.0,42.8666667,16.4333333,42.8666667,2.9875813,0.42261499999999996,0.106769,0.086145,0.09147899999999999,0.0408884,1555.0,8.7249611,13468.965517200002,12.467,0.0,0.073,0.0,0.10800000000000001,0.127,0.002,0.7440000000000001,0.473,0.003,0.003,0.0003,0.815,0.575,0.035,5.0,58.6,0.5,9.7,0.19,2.5,23.3,5.5,58.6,0.6,6.7,0.11,2.3,25.5
42.0,48.8333333,16.1833333,48.8333333,2.0,0.495525,0.09894299999999999,0.109653,0.15428599999999998,0.040313699999999994,1582.0,11.2042321,12768.692070000001,18.238,0.35100000000000003,0.069,0.02,0.193,0.161,0.001,0.691,0.39899999999999997,0.002,0.003,0.0002,0.785,0.574,0.036000000000000004,4.3,51.9,0.7,14.0,0.28,2.1,24.5,4.6,51.6,0.8,15.2,0.13,2.1,25.2
51.0,41.216666700000005,16.35,41.216666700000005,3.0488372000000004,0.38871,0.13639600000000002,0.057386,0.094325,0.03846,1549.0,7.799513799999999,13478.8990826,10.694,0.0,0.071,0.02,0.121,0.084,0.002,0.7390000000000001,0.475,0.003,0.003,0.0003,0.789,0.563,0.037000000000000005,3.7,54.2,0.3,11.2,0.19,2.2,24.6,5.0,50.9,0.9,4.0,0.09,2.4,21.3
