,t вып-обр,t обработка,t под током,t продувка,ПСН гр.,чист расход C,чист расход Cr,чист расход Mn,чист расход Si,чист расход V,температура первая,Ar (интенс.),N2 (интенс.),эл. энергия (интенс.),произв жидкая сталь,расход газ Ar,расход газ  N2,сыпуч известь РП,сыпуч кокс пыль УСТК,сыпуч  кокс. мелочь КМ1,сыпуч  шпат плав.,ферспл CaC2,ферспл  Mn5Si65Al0.5,ферспл SiMn18,ферспл  ферванит,ферспл  фх850А,химсталь первый Al_1,химсталь первый C_1,химсталь первый Cr_1,химсталь первый Mn_1,химсталь первый N_1,химсталь первый Si_1,химсталь первый V_1,химсталь последний Al,химсталь последний C,химсталь последний Ca,химсталь последний Cr,химсталь последний Mn,химсталь последний N,химсталь последний Si,химсталь последний V,химшлак первый Al2O3_1,химшлак первый CaO_1,химшлак первый FeO_1,химшлак первый MgO_1,химшлак первый MnO_1,химшлак первый R_1,химшлак первый SiO2_1,химшлак последний Al2O3,химшлак последний CaO,химшлак последний FeO,химшлак последний MgO,химшлак последний MnO,химшлак последний R,химшлак последний SiO2
2309,5.0,52.55,22.8333333,52.55,3.0,0.505625,0.122822,0.165575,0.10178,0.09367310000000001,1584.0,13.8121519,16.019768300000003,12253.138686100001,116.5,9.093,17.288,0.0,0.05,0.552,0.039,0.02,0.09,0.253,0.012189,0.217,0.002,0.44,0.185,0.652,0.012,0.446,0.002,0.004,0.858,0.0002,0.29,0.805,0.019,0.5589999999999999,0.08199999999999999,4.2,60.1,1.1,6.8,0.09,3.0,19.7,5.7,57.6,0.3,4.1,0.06,2.8,20.3
2310,11.0,54.5666667,20.6666667,54.216666700000005,3.0,0.51935,0.12338800000000001,0.1877375,0.110825,0.0951959,1575.0,9.9717791,11.2743243,12457.7419355,116.9,6.321000000000001,12.978,0.0,0.05,0.568,0.039,0.02,0.095,0.287,0.02615,0.218,0.002,0.44,0.185,0.657,0.016,0.46399999999999997,0.002,0.003,0.861,0.0001,0.29100000000000004,0.7929999999999999,0.019,0.542,0.083,4.4,61.7,0.4,7.9,0.08,2.8,22.0,5.7,57.4,0.6,5.1,0.06,2.6,21.8
2311,5.0,55.3666667,23.3666667,55.216666700000005,3.5799129,0.437245,0.07980599999999999,0.1011375,0.08037899999999999,0.09229689999999999,1537.0,11.4374165,15.172225099999999,14453.922967200002,113.6,8.559,16.327,0.0,0.05,0.478,0.049,0.02,0.083,0.154,0.02615,0.141,0.002,0.49200000000000005,0.22,0.71,0.012,0.466,0.002,0.003,0.87,0.0001,0.289,0.7979999999999999,0.017,0.509,0.08199999999999999,3.2,53.7,1.2,5.4,0.15,3.0,18.0,5.2,60.5,0.6,5.4,0.07,2.8,21.8
2312,12.0,54.716666700000005,24.6833333,54.55,3.0,0.47212,0.091692,0.1501,0.10422999999999999,0.0920197,1557.0,10.4946429,10.690144,12423.767724500001,114.1,3.265,15.667,0.0,0.05,0.517,0.062,0.02,0.1,0.22899999999999998,0.026114,0.162,0.002,0.473,0.21100000000000002,0.657,0.01,0.436,0.002,0.003,0.865,0.0001,0.29,0.797,0.018000000000000002,0.542,0.084,3.5,57.4,0.7,7.4,0.15,3.0,19.2,5.5,61.1,0.4,5.6,0.07,2.7,22.2
2313,18.0,50.3666667,20.5,50.2,3.0,0.51932,0.098484,0.1769875,0.123607,0.0927533,1573.0,9.7702918,13.1588517,12649.7560976,115.3,6.138999999999999,13.751,0.0,0.05,0.573,0.065,0.02,0.11900000000000001,0.27,0.026512,0.174,0.002,0.429,0.20199999999999999,0.653,0.012,0.44,0.002,0.003,0.865,0.0002,0.287,0.7959999999999999,0.018000000000000002,0.534,0.084,4.1,61.2,0.3,9.3,0.07,2.8,22.1,5.5,59.5,0.5,6.7,0.09,2.5,23.4
2314,21.0,52.05,21.3333333,51.8833333,3.0,0.492225,0.084334,0.1811375,0.103901,0.095239,1559.0,13.1020522,15.0765407,12774.375,117.6,7.803,16.512999999999998,0.0,0.05,0.542,0.068,0.02,0.087,0.27699999999999997,0.026874000000000002,0.149,0.002,0.44299999999999995,0.217,0.639,0.011000000000000001,0.429,0.002,0.003,0.861,0.0002,0.287,0.794,0.019,0.527,0.084,4.3,62.0,0.4,8.5,0.09,2.9,21.1,5.6,60.5,0.9,4.4,0.09,2.8,21.8
2315,22.0,57.7,18.3166667,57.533333299999995,3.0,0.548245,0.10471,0.1652875,0.120547,0.095347,1581.0,9.7312246,10.5503303,12516.4695177,117.1,5.982,13.311,0.0,0.05,0.608,0.053,0.02,0.11900000000000001,0.252,0.027054,0.185,0.002,0.409,0.19899999999999998,0.6509999999999999,0.009000000000000001,0.424,0.002,0.004,0.8740000000000001,0.0005,0.287,0.797,0.017,0.54,0.085,4.1,60.0,0.4,8.0,0.08,2.8,21.3,5.8,57.7,0.5,6.6,0.07,2.5,22.7
2316,32.0,64.7333333,26.866666700000003,64.5666667,3.0,0.47848500000000005,0.108106,0.171175,0.09025,0.09174739999999999,1561.0,12.4568905,13.890767499999999,12537.468982600001,113.3,7.834,20.813000000000002,0.0,0.05,0.521,0.054000000000000006,0.02,0.07,0.262,0.025932999999999998,0.191,0.001,0.467,0.198,0.65,0.011000000000000001,0.444,0.002,0.003,0.863,0.0001,0.29100000000000004,0.8009999999999999,0.019,0.544,0.085,4.1,60.0,0.4,6.9,0.07,2.8,21.2,5.6,58.9,0.9,6.3,0.07,2.6,22.8
2317,47.0,64.7166667,40.283333299999995,64.55,2.8535424,0.48586999999999997,0.138104,0.2124625,0.118591,0.09223239999999999,1523.0,10.9575,13.3120122,10292.0976417,113.3,3.409,24.165,0.11,0.05,0.523,0.048,0.02,0.09699999999999999,0.325,0.026512,0.244,0.001,0.467,0.172,0.614,0.011000000000000001,0.43200000000000005,0.002,0.002,0.885,0.0006,0.29100000000000004,0.8,0.02,0.52,0.084,3.5,61.6,0.5,9.6,0.19,2.7,22.8,3.6,49.2,0.6,9.2,0.13,2.4,20.8
2318,6.0,46.6666667,18.3,46.3333333,3.0,0.5418850000000001,0.13867000000000002,0.266575,0.14119,0.09536030000000001,1588.0,8.7913043,5.073015900000001,12531.147541,117.0,10.784,1.598,0.0,0.05,0.59,0.047,0.02,0.11,0.408,0.026693,0.245,0.001,0.442,0.177,0.573,0.013000000000000001,0.414,0.002,0.003,0.868,0.0002,0.29,0.797,0.015,0.539,0.08199999999999999,3.5,50.2,1.0,11.4,0.1,2.3,21.9,4.5,55.5,0.6,10.3,0.12,2.2,25.7
