,МАРКА,t вып-обр,t под током,t продувка,ПСН гр.,чист расход C,чист расход Cr,чист расход Mn,чист расход Si,чист расход V,температура первая,температура последняя,Ar (интенс.),N2 (интенс.),эл. энергия (интенс.),произв жидкая сталь,расход газ Ar,расход газ  N2,сыпуч известь РП,сыпуч кокс пыль УСТК,сыпуч  кокс. мелочь КМ1,сыпуч  шпат плав.,ферспл CaC2,ферспл  FeV-80,ферспл  Mn5Si65Al0.5,ферспл  ферванит,эл. энергия,химсталь первый Al_1,химсталь первый C_1,химсталь первый Cr_1,химсталь первый Mn_1,химсталь первый Mo_1,химсталь первый N_1,химсталь первый Ni_1,химсталь первый P_1,химсталь первый S_1,химсталь первый Si_1,химсталь первый Ti_1,химсталь первый V_1,химсталь последний Al,химсталь последний C,химсталь последний Ca,химсталь последний Cr,химсталь последний Cu,химсталь последний Mn,химсталь последний Mo,химсталь последний N,химсталь последний Ni,химсталь последний P,химсталь последний S,химсталь последний Si,химсталь последний Ti,химсталь последний V,химшлак первый Al2O3_1,химшлак первый CaO_1,химшлак первый FeO_1,химшлак первый MgO_1,химшлак первый MnO_1,химшлак первый R_1,химшлак первый SiO2_1,химшлак последний Al2O3,химшлак последний CaO,химшлак последний FeO,химшлак последний MgO,химшлак последний MnO,химшлак последний R,химшлак последний SiO2
589,Э76ХФ,18.0,20.0166667,41.85,2.4310567,0.339285,0.07506,0.066049,0.06894600000000001,0.0387425,1577.0,1590.0,8.060323200000001,12.753919450000001,12550.541215700001,110.8,11.224,9.586500000000001,0.126,0.05,0.359,0.126,0.02,0.048647,0.079,0.025174000000000002,4187.0,0.001,0.525,0.35,0.74,0.008,0.008,0.08,0.011000000000000001,0.024,0.519,0.002,0.003,0.003,0.769,0.0003,0.415,0.121,0.7979999999999999,0.006999999999999999,0.009000000000000001,0.081,0.012,0.017,0.575,0.003,0.038,2.7,58.6,0.3,13.1,0.23,2.3,25.6,3.2,54.8,0.8,6.1,0.09,2.4,23.2
818,Э90ХАФ,7.0,17.3833333,41.033333299999995,3.0044798,0.5234106,0.10827300000000001,0.2004565,0.148846,0.09557289999999999,1580.0,1589.0,11.16671715,9.5709992,13602.684563799998,114.6,15.092500000000001,13.091,0.126,0.05,0.5539999999999999,0.083,0.02,0.105179,0.149,0.025174000000000002,3941.0,0.001,0.424,0.196,0.613,0.006,0.009000000000000001,0.068,0.008,0.022000000000000002,0.402,0.001,0.002,0.003,0.862,0.0002,0.289,0.106,0.799,0.005,0.013999999999999999,0.068,0.009000000000000001,0.021,0.55,0.003,0.081,3.6,59.7,0.2,7.1,0.11,2.4,24.5,4.6,61.8,0.5,6.1,0.08,2.4,26.1
1029,Другие,9.0,18.95,43.85,2.6437346,0.43396,0.12108599999999999,0.17565799999999998,0.08960599999999999,0.0413956,1586.0,1596.0,10.810281800000002,12.753919450000001,12012.6649077,113.4,15.770999999999999,9.586500000000001,0.126,0.05,0.486,0.046,0.02,0.052083000000000004,0.066,0.025174000000000002,3794.0,0.001,0.425,0.071,0.736,0.005,0.01,0.057999999999999996,0.011000000000000001,0.019,0.245,0.001,0.002,0.002,0.755,0.0002,0.071,0.09,0.88,0.004,0.013000000000000001,0.057,0.012,0.017,0.322,0.002,0.037000000000000005,4.8,49.1,0.6,10.6,0.18,2.4,20.4,4.7,54.8,0.6,11.6,0.16,2.1,26.1
1036,Другие,7.0,19.216666699999998,46.716666700000005,3.0,0.54887,0.12108599999999999,0.19913699999999998,0.087354,0.0417482,1607.0,1594.0,9.288333900000001,12.753919450000001,11908.4128361,115.9,14.464,9.586500000000001,0.126,0.05,0.627,0.077,0.02,0.052626,0.054000000000000006,0.025174000000000002,3814.0,0.001,0.348,0.065,0.6890000000000001,0.005,0.01,0.062,0.008,0.021,0.226,0.001,0.001,0.003,0.77,0.0002,0.066,0.095,0.857,0.004,0.012,0.062,0.009000000000000001,0.012,0.306,0.002,0.036000000000000004,4.9,54.0,0.4,10.9,0.25,2.3,23.8,5.4,51.9,0.5,10.3,0.15,2.1,24.2
1345,Э76ХФ,26.0,19.8833333,42.05,3.7752928999999997,0.40265500000000004,0.168487,0.176548,0.153988,0.041933,1565.0,1588.0,18.348157,12.753919450000001,13609.3880972,116.9,25.718000000000004,9.586500000000001,0.126,0.05,0.41700000000000004,0.039,0.02,0.052878999999999995,0.16399999999999998,0.025174000000000002,4510.0,0.002,0.452,0.28,0.642,0.006,0.009000000000000001,0.065,0.006999999999999999,0.018000000000000002,0.434,0.002,0.002,0.003,0.7709999999999999,0.0003,0.419,0.09699999999999999,0.8029999999999999,0.006,0.012,0.066,0.008,0.013999999999999999,0.5710000000000001,0.003,0.037000000000000005,5.3,48.8,0.7,14.2,0.19,2.2,22.4,5.2,54.5,0.3,14.0,0.14,2.1,26.6
1348,Э76ХФ,16.0,20.4833333,48.1833333,3.6678112,0.399455,0.13000899999999999,0.123483,0.152815,0.0387938,1582.0,1592.0,11.1405405,12.753919450000001,12923.677786799999,112.8,17.862000000000002,9.586500000000001,0.126,0.05,0.42200000000000004,0.07400000000000001,0.02,0.048827999999999996,0.185,0.025174000000000002,4412.0,0.001,0.455,0.312,0.693,0.006999999999999999,0.01,0.068,0.01,0.018000000000000002,0.426,0.001,0.002,0.003,0.774,0.0003,0.42,0.106,0.799,0.006,0.011000000000000001,0.067,0.01,0.013999999999999999,0.579,0.003,0.036000000000000004,4.4,53.3,0.4,10.9,0.19,2.2,24.6,4.4,55.6,0.6,7.7,0.12,2.1,26.9
1512,Другие,45.0,22.8,42.1833333,4.9475013,0.34519,0.12108599999999999,0.258826,0.12263099999999999,0.0418499,1584.0,1627.0,13.785836100000001,12.753919450000001,13657.8947368,112.5,19.304000000000002,9.586500000000001,0.102,0.05,0.373,0.064,0.02,0.052988,0.077,0.025174000000000002,5190.0,0.002,0.503,0.079,0.657,0.006999999999999999,0.008,0.057999999999999996,0.009000000000000001,0.016,0.22899999999999998,0.001,0.002,0.003,0.76,0.0004,0.08,0.07400000000000001,0.867,0.006,0.011000000000000001,0.057999999999999996,0.01,0.009000000000000001,0.331,0.002,0.038,3.1,58.5,0.4,10.0,0.19,2.4,24.7,4.1,59.6,0.6,6.8,0.11,2.6,22.8
1514,Другие,47.0,33.3333333,49.533333299999995,5.0081169,0.34713,0.12108599999999999,0.320299,0.12006700000000001,0.0418499,1520.0,1616.0,11.4699647,12.753919450000001,14162.4,115.7,18.935,9.586500000000001,0.188,0.05,0.373,0.09,0.02,0.052988,0.047,0.025174000000000002,7868.0,0.002,0.521,0.07400000000000001,0.624,0.006,0.009000000000000001,0.059000000000000004,0.006999999999999999,0.02,0.223,0.001,0.002,0.003,0.7709999999999999,0.0005,0.076,0.09300000000000001,0.885,0.004,0.011000000000000001,0.059000000000000004,0.008,0.013999999999999999,0.307,0.002,0.038,4.5,60.5,1.4,16.8,0.31,2.9,20.8,3.7,57.7,0.6,11.1,0.17,2.2,26.2
1515,Другие,29.0,20.3166667,45.9,2.5609962000000004,0.39511,0.12108599999999999,0.24868,0.098148,0.041163599999999995,1563.0,1596.0,10.195425,12.753919450000001,12870.221493000001,113.3,15.228,9.586500000000001,0.078,0.05,0.435,0.048,0.02,0.052119000000000006,0.044000000000000004,0.025174000000000002,4358.0,0.001,0.456,0.07400000000000001,0.649,0.006,0.009000000000000001,0.064,0.008,0.02,0.218,0.001,0.002,0.002,0.765,0.0002,0.076,0.10300000000000001,0.855,0.004,0.011000000000000001,0.064,0.009000000000000001,0.016,0.299,0.002,0.037000000000000005,4.0,59.8,0.8,11.8,0.35,2.7,22.1,3.8,62.2,0.5,4.7,0.1,2.7,22.7
1516,Другие,29.0,13.866666699999998,43.716666700000005,3.0,0.36343000000000003,0.12108599999999999,0.220214,0.101375,0.039907,1582.0,1594.0,10.6368685,12.753919450000001,12245.192307700001,109.3,15.323,9.586500000000001,0.078,0.05,0.397,0.048,0.02,0.050527999999999997,0.061,0.025174000000000002,2830.0,0.001,0.473,0.07,0.657,0.006999999999999999,0.009000000000000001,0.066,0.009000000000000001,0.02,0.209,0.001,0.001,0.002,0.748,0.0004,0.07200000000000001,0.10300000000000001,0.8590000000000001,0.005,0.011000000000000001,0.064,0.009000000000000001,0.015,0.309,0.002,0.037000000000000005,3.4,55.5,1.8,11.9,0.47,2.5,22.5,4.1,58.3,0.5,8.9,0.12,2.7,21.9
