iter	Passed	Remaining
0	10	10800
1	18	9401
2	30	10060
3	52	12962
4	72	14394
5	88	14647
6	102	14528
7	114	14186
8	122	13489
9	131	13062
10	196	17636
11	216	17859
12	229	17448
13	247	17440
14	256	16819
15	272	16755
16	289	16721
17	310	16963
18	322	16647
19	330	16216
20	338	15763
21	349	15547
22	361	15362
23	369	15041
24	385	15025
25	405	15187
26	414	14938
27	422	14649
28	431	14459
29	439	14220
30	447	13986
31	458	13861
32	466	13665
33	473	13462
34	483	13323
35	492	13190
36	501	13050
37	512	12963
38	520	12830
39	529	12719
40	539	12619
41	548	12500
42	556	12395
43	565	12282
44	575	12212
45	583	12097
46	592	12022
47	601	11927
48	610	11851
49	622	11822
50	629	11710
51	637	11620
52	645	11542
53	655	11474
54	664	11420
55	674	11371
56	683	11300
57	692	11248
58	702	11206
59	710	11126
60	720	11097
61	728	11019
62	738	10983
63	747	10928
64	756	10880
65	766	10846
66	777	10833
67	790	10828
68	801	10810
69	815	10833
70	826	10819
71	836	10782
72	847	10763
73	857	10733
74	868	10710
75	877	10667
76	888	10646
77	896	10592
78	906	10569
79	915	10529
80	926	10506
81	940	10524
82	951	10507
83	961	10480
84	971	10459
85	986	10484
86	997	10467
87	1007	10441
88	1019	10436
89	1029	10413
90	1040	10398
91	1053	10392
92	1065	10387
93	1074	10351
94	1087	10363
95	1101	10372
96	1112	10360
97	1125	10356
98	1138	10359
99	1148	10333
100	1156	10290
101	1166	10270
102	1174	10225
103	1183	10197
104	1191	10152
105	1199	10119
106	1208	10085
107	1216	10048
108	1225	10017
109	1235	9998
110	1243	9960
111	1255	9950
112	1263	9918
113	1273	9895
114	1282	9870
115	1292	9849
116	1303	9834
117	1311	9801
118	1320	9776
119	1331	9766
120	1342	9753
121	1350	9721
122	1360	9701
123	1371	9687
124	1384	9694
125	1396	9685
126	1404	9655
127	1413	9627
128	1422	9603
129	1431	9577
130	1438	9545
131	1448	9524
132	1457	9500
133	1467	9484
134	1477	9467
135	1486	9441
136	1494	9415
137	1503	9392
138	1512	9370
139	1520	9343
140	1529	9317
141	1539	9299
142	1549	9288
143	1556	9255
144	1568	9250
145	1579	9241
146	1587	9214
147	1599	9206
148	1607	9183
149	1616	9161
150	1626	9144
151	1634	9120
152	1645	9110
153	1654	9088
154	1663	9066
155	1670	9038
156	1679	9018
157	1687	8991
158	1695	8965
159	1704	8950
160	1713	8927
161	1722	8911
162	1730	8884
163	1736	8853
164	1746	8840
165	1753	8811
166	1763	8793
167	1773	8783
168	1781	8757
169	1789	8739
170	1799	8721
171	1807	8700
172	1815	8680
173	1825	8666
174	1833	8645
175	1842	8626
176	1850	8602
177	1859	8587
178	1867	8567
179	1877	8551
180	1884	8526
181	1894	8515
182	1903	8496
183	1912	8479
184	1921	8463
185	1928	8441
186	1937	8423
187	1945	8402
188	1953	8381
189	1961	8361
190	1971	8350
191	1981	8336
192	1990	8324
193	2000	8310
194	2009	8295
195	2017	8274
196	2026	8260
197	2034	8242
198	2043	8223
199	2054	8217
200	2062	8200
201	2071	8184
202	2081	8172
203	2092	8164
204	2101	8150
205	2109	8131
206	2120	8124
207	2130	8113
208	2140	8102
209	2150	8089
210	2159	8076
211	2169	8064
212	2179	8051
213	2189	8040
214	2198	8028
215	2206	8008
216	2217	8001
217	2225	7984
218	2235	7971
219	2244	7958
220	2255	7949
221	2263	7933
222	2272	7917
223	2282	7907
224	2291	7891
225	2298	7873
226	2308	7862
227	2318	7849
228	2330	7846
229	2338	7829
230	2346	7811
231	2355	7798
232	2369	7800
233	2380	7793
234	2388	7776
235	2397	7761
236	2405	7743
237	2415	7735
238	2425	7722
239	2436	7715
240	2445	7703
241	2453	7686
242	2462	7672
243	2471	7657
244	2479	7641
245	2488	7627
246	2497	7613
247	2506	7598
248	2517	7591
249	2525	7576
250	2535	7566
251	2552	7577
252	2562	7566
253	2574	7560
254	2589	7564
255	2599	7555
256	2607	7539
257	2617	7529
258	2627	7517
259	2634	7498
260	2643	7485
261	2651	7467
262	2659	7451
263	2667	7436
264	2677	7426
265	2685	7408
266	2696	7401
267	2703	7385
268	2713	7374
269	2721	7357
270	2731	7348
271	2742	7340
272	2753	7333
273	2765	7326
274	2774	7314
275	2782	7298
276	2793	7290
277	2801	7275
278	2810	7263
279	2818	7247
280	2828	7238
281	2836	7222
282	2846	7211
283	2854	7197
284	2863	7182
285	2870	7165
286	2879	7154
287	2889	7142
288	2899	7133
289	2909	7124
290	2919	7113
291	2929	7102
292	2938	7090
293	2946	7074
294	2953	7058
295	2962	7046
296	2973	7037
297	2982	7025
298	2993	7017
299	3001	7002
300	3011	6992
301	3018	6976
302	3029	6968
303	3038	6955
304	3046	6941
305	3056	6932
306	3064	6917
307	3073	6905
308	3082	6892
309	3090	6879
310	3097	6863
311	3108	6854
312	3116	6839
313	3126	6829
314	3135	6819
315	3145	6808
316	3155	6799
317	3164	6787
318	3173	6775
319	3182	6762
320	3190	6749
321	3199	6736
322	3209	6726
323	3219	6717
324	3226	6701
325	3235	6689
326	3244	6678
327	3254	6666
328	3262	6654
329	3271	6642
330	3279	6628
331	3288	6617
332	3296	6602
333	3306	6593
334	3318	6587
335	3327	6575
336	3334	6561
337	3344	6551
338	3358	6548
339	3367	6537
340	3377	6526
341	3387	6518
342	3396	6505
343	3406	6495
344	3416	6486
345	3423	6470
346	3432	6459
347	3441	6447
348	3449	6435
349	3458	6423
350	3469	6414
351	3478	6404
352	3489	6395
353	3498	6384
354	3506	6370
355	3516	6360
356	3525	6349
357	3534	6337
358	3541	6323
359	3550	6312
360	3559	6300
361	3570	6292
362	3580	6283
363	3588	6270
364	3598	6260
365	3606	6247
366	3615	6235
367	3623	6223
368	3632	6211
369	3639	6197
370	3650	6189
371	3659	6177
372	3668	6165
373	3675	6152
374	3687	6145
375	3696	6134
376	3706	6124
377	3716	6115
378	3727	6108
379	3736	6096
380	3745	6084
381	3752	6070
382	3762	6060
383	3771	6050
384	3781	6040
385	3789	6028
386	3819	6050
387	3833	6046
388	3847	6042
389	3858	6034
390	3870	6028
391	3879	6016
392	3887	6004
393	3899	5997
394	3911	5991
395	3920	5980
396	3930	5969
397	3939	5959
398	3950	5950
399	3959	5939
400	3968	5928
401	3978	5918
402	3988	5908
403	3995	5894
404	4004	5883
405	4013	5872
406	4023	5862
407	4031	5849
408	4041	5839
409	4051	5830
410	4061	5820
411	4069	5808
412	4079	5797
413	4089	5788
414	4097	5775
415	4106	5765
416	4114	5752
417	4123	5741
418	4131	5728
419	4140	5718
420	4149	5706
421	4157	5694
422	4166	5683
423	4174	5671
424	4184	5661
425	4194	5651
426	4203	5640
427	4210	5627
428	4219	5615
429	4227	5604
430	4236	5592
431	4244	5581
432	4254	5570
433	4263	5559
434	4273	5550
435	4283	5540
436	4292	5530
437	4305	5524
438	4314	5513
439	4323	5502
440	4336	5496
441	4347	5488
442	4357	5479
443	4367	5468
444	4374	5455
445	4384	5446
446	4392	5433
447	4403	5425
448	4410	5412
449	4419	5401
450	4430	5392
451	4438	5381
452	4447	5370
453	4455	5358
454	4466	5349
455	4475	5338
456	4485	5329
457	4493	5317
458	4502	5306
459	4509	5293
460	4518	5283
461	4527	5272
462	4536	5261
463	4544	5249
464	4553	5238
465	4561	5227
466	4568	5214
467	4578	5204
468	4586	5192
469	4595	5182
470	4602	5169
471	4611	5158
472	4618	5146
473	4627	5135
474	4636	5124
475	4644	5113
476	4654	5102
477	4661	5090
