;t вып-обр;t обработка;ПСН гр.;чист расход C;чист расход Si;чист расход V;температура первая;температура последняя;Ar (интенс.);эл. энергия (интенс.);произв жидкая сталь;произв количество обработок;расход газ Ar;сыпуч известь РП;сыпуч кокс пыль УСТК;сыпуч  шпат плав.;ферспл CaC2;ферспл  FeV-80;ферспл  фх850А;эл. энергия;химсталь первый Al_1;химсталь первый C_1;химсталь первый Cr_1;химсталь первый Cu_1;химсталь первый Mn_1;химсталь первый N_1;химсталь первый Ni_1;химсталь первый P_1;химсталь первый S_1;химсталь первый Si_1;химсталь первый Ti_1;химсталь первый V_1;химсталь последний Al;химсталь последний C;химсталь последний Ca;химсталь последний Cr;химсталь последний Mn;химсталь последний Mo;химсталь последний N;химсталь последний P;химсталь последний S;химсталь последний Si;химсталь последний Ti;химсталь последний V;химшлак первый Al2O3_1;химшлак первый CaO_1;химшлак первый FeO_1;химшлак первый MgO_1;химшлак первый MnO_1;химшлак первый R_1;химшлак первый SiO2_1;химшлак последний Al2O3;химшлак последний CaO;химшлак последний FeO;химшлак последний MgO;химшлак последний MnO;химшлак последний R;химшлак последний SiO2
0;12,0;55,05;4,1000767;0,40327;0,087921;0,0652614;1556,0;1605,0;9,6181568;14106,0728745;110,2;1,0;11,654000000000002;0,066;0,546;0,066;0,02;0,068106;0,19;5807,0;0,002;0,402;0,305;0,077;0,655;0,009000000000000001;0,12;0,009000000000000001;0,014;0,481;0,002;0,002;0,003;0,725;0,0003;0,395;0,7929999999999999;0,004;0,014;0,009000000000000001;0,011;0,5660000000000001;0,003;0,057;3,75;60,2;0,4;6,9;0,15;2,7;22,15;4,25;57,5;0,5;7,7;0,16;2,1;23,97282468924129
1;21,0;47,0166667;3,8584433;0,439175;0,161616;0,0646104;1573,0;1599,0;7,7171946;14053,6443149;117,2;1,0;9,475;0,155;0,15;0,036000000000000004;0,02;0,067021;0,203;4017,0;0,001;0,403;0,303;0,085;0,619;0,013;0,122;0,01;0,015;0,406;0,001;0,002;0,003;0,7170000000000001;0,0001;0,397;0,7829999999999999;0,004;0,013;0,01;0,013;0,5529999999999999;0,003;0,056;3,75;54,2;0,5;14,2;0,44;2,2;22,15;4,25;57,3;0,6;8,4;0,16;2,2;23,97282468924129
2;21,0;49,7;3,3460751;0,46864;0,130141;0,06376799999999999;1543,0;1590,0;15,448345800000002;12912,808178;115,7;1,0;14,397;0,077;0,05;0,038;0,02;0,066262;0,198;5965,0;0,002;0,386;0,31;0,081;0,63;0,01;0,14400000000000002;0,009000000000000001;0,016;0,447;0,002;0,002;0,003;0,723;0,0003;0,397;0,7859999999999999;0,003;0,014;0,009000000000000001;0,014;0,5589999999999999;0,003;0,056;3,75;53,6;0,3;8,1;0,15;2,3;22,15;4,25;57,3;0,4;9,3;0,14;2,2;23,97282468924129
3;21,0;50,8833333;4,3375394;0,449985;0,105976;0,061966199999999985;1627,0;1586,0;8,0585774;13608,0808081;112,0;1,0;5,885;0,111;0,165;0,078;0,02;0,063766;0,165;3368,0;0,002;0,401;0,316;0,098;0,655;0,01;0,126;0,009000000000000001;0,016;0,456;0,002;0,002;0,003;0,715;0,0002;0,395;0,7859999999999999;0,005;0,015;0,01;0,011;0,5489999999999999;0,003;0,056;3,75;57,4;1,1;10,6;0,14;2,5;22,15;4,25;59,6;0,8;10,1;0,15;2,6;23,97282468924129
4;22,0;47,5333333;3,0465758000000003;0,50664;0,188146;0,0627779;1603,0;1602,0;6,5594306;12895,1351351;115,1;1,0;2,048;0,131;0,05;0,038;0,02;0,06492300000000001;0,182;3976,0;0,001;0,361;0,313;0,09;0,6;0,01;0,126;0,009000000000000001;0,016;0,413;0,001;0,002;0,003;0,731;0,0002;0,398;0,7859999999999999;0,005;0,017;0,01;0,012;0,565;0,002;0,056;3,75;50,5;1,2;18,1;0,33;2,0;22,15;4,25;57,0;0,5;9,2;0,17;2,1;23,97282468924129
5;22,0;55,85;2,0;0,494805;0,185357;0,06348290000000001;1590,0;1587,0;27,585;13374,1935484;114,8;1,0;0,613;0,187;0,05;0,04;0,02;0,065683;0,239;4837,0;0,001;0,36;0,284;0,086;0,573;0,01;0,118;0,006999999999999999;0,016;0,413;0,001;0,002;0,002;0,732;0,0001;0,395;0,7879999999999999;0,003;0,02;0,008;0,013;0,555;0,002;0,056;3,75;50,6;1,1;14,2;0,59;2,0;22,15;4,25;56,0;0,5;8,3;0,18;2,1;23,97282468924129
6;30,0;50,5333333;2,4657224;0,459435;0,152892;0,061623;1577,0;1593,0;8,4884211;14236,0465116;112,9;1,0;8,064;0,234;0,141;0,07400000000000001;0,02;0,064272;0,149;4081,0;0,002;0,384;0,325;0,08900000000000001;0,633;0,009000000000000001;0,124;0,009000000000000001;0,016;0,434;0,001;0,002;0,002;0,73;0,0001;0,396;0,787;0,005;0,015;0,01;0,015;0,5579999999999999;0,003;0,056;3,75;47,5;0,4;11,1;0,35;2,0;22,15;4,25;57,7;0,6;9,0;0,16;2,2;23,97282468924129
7;40,0;45,3833333;3,1760905;0,464055;0,157612;0,0621055;1575,0;1585,0;14,033009699999996;14181,3907933;114,6;1,0;4,015;0,078;0,05;0,038;0,02;0,064272;0,217;4022,0;0,002;0,375;0,297;0,077;0,655;0,008;0,116;0,011;0,013;0,428;0,002;0,003;0,003;0,721;0,0001;0,398;0,7859999999999999;0,004;0,018000000000000002;0,012;0,013;0,56;0,003;0,057;3,75;52,3;0,4;15,5;0,23;2,0;22,15;4,25;51,1;0,6;11,6;0,14;2,3;23,97282468924129
8;7,0;47,0166667;2,7765177000000003;0,42198;0,13;0,0388069;1604,0;1635,0;14,371774800000004;12519,7122302;111,7;1,0;22,404;0,122;0,05;0,038;0,02;0,048539;0,204;4834,0;0,002;0,418;0,319;0,091;0,6920000000000001;0,01;0,063;0,011;0,017;0,457;0,001;0,002;0,004;0,753;0,0004;0,418;0,799;0,005;0,012;0,011;0,011;0,5720000000000001;0,003;0,036000000000000004;5,2;56,2;0,7;11,7;0,14;2,7;20,6;4,5;55,8;0,4;9,4;0,1;2,0;27,4
9;12,0;49,3833333;3,62601;0,404285;0,129965;0,0384599;1536,0;1613,0;6,9769048;12780,9326425;113,7;1,0;11,446;0,08199999999999999;0,05;0,048;0,02;0,048105;0,203;6852,0;0,002;0,452;0,318;0,114;0,6659999999999999;0,011;0,073;0,009000000000000001;0,019;0,451;0,002;0,002;0,004;0,772;0,0003;0,419;0,799;0,006999999999999999;0,011;0,01;0,014;0,563;0,003;0,035;5,0;53,8;1,4;10,1;0,2;2,3;23,1;4,8;55,0;0,6;7,6;0,14;2,0;27,2
