,ПСН гр.,чист расход C,чист расход Cr,чист расход Mn,чист расход Si,чист расход V,температура первая,температура последняя,Ar (интенс.),N2 (интенс.),эл. энергия (интенс.),произв жидкая сталь,произв количество обработок,произв  количество плавок,произв количество плавок (цел),расход газ Ar,расход газ  N2,расход C пров.,сыпуч известь РП,сыпуч кварцит,сыпуч кокс пыль УСТК,сыпуч  кокс. мелочь (сух.),сыпуч  кокс. мелочь КМ1,сыпуч  шпат плав.,ферспл CaC2
0,,0.45646000000000003,0.059572,0.11744600000000001,0.104762,0.040938300000000004,1557.0,1580.0,13.6067425,,12809.0163934,115.5,1.0,1.0,1.0,18.611,,,,,0.17,,0.401,0.12300000000000001,0.02
1,,0.35928499999999997,0.08373799999999999,0.160923,0.110327,0.040083099999999997,1601.0,1591.0,8.074721,,12816.3461538,111.6,1.0,1.0,1.0,11.659,,,,,0.488,,,0.094,0.02
2,,0.331665,0.08148999999999999,0.132332,0.13985999999999998,0.0416225,1593.0,1586.0,13.801967999999999,,12511.420612799999,115.8,1.0,1.0,1.0,19.871,,,,,0.05,,0.34600000000000003,0.061,0.02
3,,0.377945,0.133194,0.22160500000000002,0.165186,0.042049699999999995,1589.0,1589.0,12.664958500000001,,12998.1497056,116.3,1.0,1.0,1.0,19.497,,,0.077,,0.05,,0.39,0.059000000000000004,0.02
4,,0.389875,0.105094,0.169459,0.143024,0.040966699999999995,1597.0,1592.0,10.2983505,,12987.475538200002,115.0,1.0,1.0,1.0,16.649,,,0.08199999999999999,,0.05,,0.41200000000000003,0.035,0.02
5,,0.28273000000000004,0.102284,0.153114,0.121723,0.0424777,1589.0,1601.0,7.006719599999999,,12133.082706799998,117.4,1.0,1.0,1.0,11.527999999999999,,,0.068,,0.375,,,0.073,0.02
6,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,
67,,0.01524,,0.022209,0.048741,,1575.0,1601.0,11.6418444,,11564.028777,113.4,1.0,1.0,1.0,20.619,,,0.11800000000000001,,,,0.018000000000000002,0.038,
68,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,
70,2.1027065,0.45052,0.25402399999999997,0.251131,0.268233,0.0395125,1603.0,1608.0,11.570341699999998,,13013.49134,113.2,1.0,1.0,1.0,36.498000000000005,,,0.28800000000000003,,0.05,,0.456,0.081,0.02
71,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,
82,5.088442,0.5348,0.110152,0.16838599999999998,0.128527,0.0395408,1513.0,1636.0,9.1945037,,15174.6455379,113.1,1.0,1.0,1.0,19.145,,,0.109,,0.05,,0.59,0.034,0.02
83,3.1075312000000004,0.541855,0.14331,0.23487199999999997,0.208873,0.0423918,1602.0,1608.0,11.1413683,,13320.9612817,118.1,1.0,1.0,1.0,17.461,,,0.239,,0.05,,0.59,0.038,0.02
84,2.5565898999999996,0.533385,0.14893,0.247852,0.222789,0.0433329,1619.0,1612.0,10.526011599999999,,13434.996277,120.4,1.0,1.0,1.0,18.21,,,0.102,,0.05,,0.578,,0.02
85,,,,,,,,,,,,,,,,,,,,,,,,,
86,2.2108247000000003,0.36976,0.102284,0.187223,0.149226,0.0417651,1605.0,1537.0,14.146164800000001,,12948.137535799999,116.9,2.0,1.0,1.0,24.744,,,,,0.05,,0.387,0.057999999999999996,0.02
